hs_code;deskripsi_resmi;bab;kata_kunci_produk;sumber
1905.90.90;"Produk roti lainnya; Lain-lain";19;kerupuk,kerupuk udang,kerupuk ikan,kerupuk bawang;insw_verified_2026-08-07
2008.99.90;"Olahan buah-buahan; Lain-lain";20;keripik buah,keripik nangka,keripik pisang,keripik apel,keripik salak;insw_verified_2026-08-07
2005.99.90;"Olahan sayuran lainnya; Lain-lain";20;keripik singkong,keripik ubi,keripik tempe;insw_verified_2026-08-07
1905.90.90;"Produk roti lainnya; Lain-lain";19;emping,emping melinjo,kripik melinjo;insw_verified_2026-08-07
1902.30.90;"Pasta lainnya; Lain-lain";19;mie instan,mi instan,ramen instan,indomie;insw_verified_2026-08-07
1902.19.90;"Pasta mentah lainnya; Lain-lain";19;bihun,soun,misoa,bihun kering;insw_verified_2026-08-07
1905.31.10;"Biskuit manis; Tidak mengandung kakao";19;biskuit,kue kering,cookies,wafer;insw_verified_2026-08-07
2006.00.00;Sayuran, buah, kacang, kulit buah diawetkan dengan gula;20;manisan buah,manisan buah kering,buah kering gula,manisan mangga;insw_verified_2026-08-07
2007.99.90;"Selai, jeli buah, marmelade; Lain-lain";20;selai,selai buah,jam buah,selai nanas,selai stroberi;insw_verified_2026-08-07
2001.90.90;"Sayuran diawetkan dengan cuka atau asam asetat; Lain-lain";20;acar,acar sayuran,pickle,acar mentimun,acar wortel;insw_verified_2026-08-07
2103.90.11;"Saus dan olahan daripadanya; Saus cabe";21;sambal,saus cabai,saus cabe,sambal kemasan,sambal bawang;insw_verified_2026-08-07
2103.10.00;Kecap;21;kecap,kecap manis,kecap asin,kecap kedelai;insw_verified_2026-08-07
2103.90.29;"Campuran bahan penyedap dan bumbu; Lain-lain";21;bumbu instan,bumbu masak,bumbu soto,bumbu rendang,bumbu racik;insw_verified_2026-08-07
2101.12.91;Olahan kopi dengan dasar ekstrak/esens mengandung tambahan gula, krimer maupun tidak;21;kopi instan,kopi sachet,kopi krimer,kopi 3 in 1,kopi mix;insw_verified_2026-08-07
